namespace_organization,namespace_name,file_name,sample_namespace_organization,sample_namespace_name,sample_names,type,size,md5_checksum,description
IUSCCC,PST001,CRF000038.bam,IUSCCC,PST001,141,BAM,398085,,elit ipsum elit adipiscing elit
IUSCCC,PST001,CRF000039.bam,IUSCCC,PST001,142,BAM,239384,,ut sit magna sit tempor
IUSCCC,PST001,CRF000040.bam,IUSCCC,PST001,144,BAM,477741,,amet magna adipiscing dolore magna
IUSCCC,PST001,CRF000041.bam,IUSCCC,PST001,152,BAM,78437,,ut elit adipiscing do dolore
IUSCCC,PST001,CRF000042.bam,IUSCCC,PST001,156,BAM,421933,,tempor adipiscing elit dolore aliqua
IUSCCC,PST001,CRF000043.bam,IUSCCC,PST001,160,BAM,407019,,ut lorem dolor lorem et
IUSCCC,PST001,CRF000044.bam,IUSCCC,PST001,168,BAM,163656,,do sed sit dolore incididunt
IUSCCC,PST001,CRF000045.bam,IUSCCC,PST001,172,BAM,48942,,et amet elit ut sit
IUSCCC,PST001,CRF000046.bam,IUSCCC,PST001,175,BAM,66242,,ut ipsum magna lorem ipsum
IUSCCC,PST001,CRF000047.bam,IUSCCC,PST001,178,BAM,425302,,ipsum labore do et do
IUSCCC,PST001,CRF000048.bam,IUSCCC,PST001,180,BAM,356580,,dolor ipsum lorem aliqua labore
IUSCCC,PST001,CRF000049.bam,IUSCCC,PST001,185,BAM,417157,,elit amet elit dolor do
IUSCCC,PST001,CRF000050.bam,IUSCCC,PST001,188,BAM,415287,,tempor labore elit consectetur dolor
IUSCCC,PST001,CRF000051.bam,IUSCCC,PST001,190,BAM,65411,,adipiscing consectetur incididunt tempor lorem
IUSCCC,PST001,CRF000052.bam,IUSCCC,PST001,193,BAM,244642,,sit ipsum magna eiusmod consectetur
IUSCCC,PST001,CRF000053.bam,IUSCCC,PST001,195,BAM,389294,,ut dolor sed aliqua aliqua
IUSCCC,PST001,CRF000054.bam,IUSCCC,PST001,200,BAM,493648,,elit labore eiusmod et incididunt
IUSCCC,PST001,CRF000055.bam,IUSCCC,PST001,204,BAM,499138,,dolore tempor labore dolore do
IUSCCC,PST001,CRF000056.bam,IUSCCC,PST001,207,BAM,8012,,incididunt amet ut do elit
IUSCCC,PST001,CRF000057.bam,IUSCCC,PST001,209,BAM,139539,,consectetur incididunt lorem elit magna
IUSCCC,PST001,CRF000058.bam,IUSCCC,PST001,211,BAM,278272,,sit do adipiscing lorem labore
IUSCCC,PST001,CRF000059.bam,IUSCCC,PST001,215,BAM,266475,,dolore do lorem tempor eiusmod
IUSCCC,PST001,CRF000060.bam,IUSCCC,PST001,221,BAM,55889,,sit magna dolore sit ut
IUSCCC,PST001,CRF000061.bam,IUSCCC,PST001,226,BAM,217114,,adipiscing elit ipsum et magna
IUSCCC,PST001,CRF000062.bam,IUSCCC,PST001,228,BAM,332672,,incididunt consectetur sed tempor dolor
IUSCCC,PST001,CRF000063.bam,IUSCCC,PST001,234,BAM,456927,,sit do incididunt elit eiusmod
IUSCCC,PST001,CRF000064.bam,IUSCCC,PST001,237,BAM,340515,,amet labore ipsum magna eiusmod
IUSCCC,PST001,CRF000065.bam,IUSCCC,PST001,240,BAM,148096,,tempor adipiscing lorem dolore consectetur
IUSCCC,PST001,CRF000066.bam,IUSCCC,PST001,245,BAM,257699,,ut sit eiusmod et incididunt
IUSCCC,PST001,CRF000067.bam,IUSCCC,PST001,249,BAM,345098,,tempor magna magna dolor dolore
IUSCCC,PST001,CRF000068.bam,IUSCCC,PST001,252,BAM,9455,,et eiusmod do ipsum amet
IUSCCC,PST001,CRF000069.bam,IUSCCC,PST001,257,BAM,281006,,tempor consectetur adipiscing labore ipsum
IUSCCC,PST001,CRF000070.bam,IUSCCC,PST001,267,BAM,358292,,amet sed tempor dolore et
IUSCCC,PST001,CRF000071.bam,IUSCCC,PST001,272,BAM,29399,,sit consectetur dolore eiusmod aliqua
IUSCCC,PST001,CRF000072.bam,IUSCCC,PST001,274,BAM,176332,,ipsum aliqua ipsum tempor ut
IUSCCC,PST001,CRF000073.bam,IUSCCC,PST001,277,BAM,360853,,labore lorem ut aliqua tempor
IUSCCC,PST001,CRF000074.bam,IUSCCC,PST001,282,BAM,96591,,incididunt sit magna elit elit
IUSCCC,PST001,CRF000075.bam,IUSCCC,PST001,283,BAM,58951,,sed eiusmod eiusmod lorem dolor
IUSCCC,PST001,CRF000076.bam,IUSCCC,PST001,287,BAM,224151,,eiusmod labore aliqua amet consectetur
IUSCCC,PST001,CRF000077.bam,IUSCCC,PST001,290,BAM,454229,,labore elit dolor incididunt do
IUSCCC,PST001,CRF000078.bam,IUSCCC,PST001,292,BAM,1469,,amet ipsum labore adipiscing dolor
IUSCCC,PST001,CRF000079.bam,IUSCCC,PST001,297,BAM,121538,,aliqua sed elit ipsum dolor
IUSCCC,PST001,CRF000080.bam,IUSCCC,PST001,300,BAM,194998,,aliqua elit dolore eiusmod do
IUSCCC,PST001,CRF000081.bam,IUSCCC,PST001,303,BAM,154937,,adipiscing dolore ut magna ut
IUSCCC,PST001,CRF000082.bam,IUSCCC,PST001,306,BAM,29229,,ipsum eiusmod incididunt consectetur do
IUSCCC,PST001,CRF000083.bam,IUSCCC,PST001,310,BAM,228366,,lorem adipiscing dolore dolor do
IUSCCC,PST001,CRF000084.bam,IUSCCC,PST001,313,BAM,414557,,elit lorem sit adipiscing labore
IUSCCC,PST001,CRF000085.bam,IUSCCC,PST001,317,BAM,436080,,amet incididunt dolore eiusmod eiusmod
IUSCCC,PST001,CRF000086.bam,IUSCCC,PST001,324,BAM,191717,,ut elit adipiscing tempor labore
IUSCCC,PST001,CRF000087.bam,IUSCCC,PST001,326,BAM,319338,,tempor incididunt consectetur amet aliqua
IUSCCC,PST001,CRF000088.bam,IUSCCC,PST001,328,BAM,303603,,amet tempor adipiscing labore lorem
IUSCCC,PST001,CRF000089.bam,IUSCCC,PST001,331,BAM,114161,,lorem sit tempor tempor elit
IUSCCC,PST001,CRF000090.bam,IUSCCC,PST001,337,BAM,30602,,amet adipiscing consectetur labore consectetur
IUSCCC,PST001,CRF000091.bam,IUSCCC,PST001,339,BAM,208160,,do et et magna elit
IUSCCC,PST001,CRF000092.bam,IUSCCC,PST001,340,BAM,167337,,consectetur eiusmod adipiscing elit adipiscing
IUSCCC,PST001,CRF000093.bam,IUSCCC,PST001,342,BAM,290466,,aliqua adipiscing magna elit do
IUSCCC,PST001,CRF000094.bam,IUSCCC,PST001,344,BAM,403939,,et labore magna do do
IUSCCC,PST001,CRF000095.bam,IUSCCC,PST001,348,BAM,466395,,ipsum dolore do sed elit
IUSCCC,PST001,CRF000096.bam,IUSCCC,PST001,357,BAM,35917,,ut consectetur et dolor et
IUSCCC,PST001,CRF000097.bam,IUSCCC,PST001,367,BAM,433475,,tempor consectetur consectetur amet tempor
IUSCCC,PST001,CRF000098.bam,IUSCCC,PST001,375,BAM,310744,,incididunt et et tempor lorem
IUSCCC,PST001,CRF000099.bam,IUSCCC,PST001,443,BAM,445429,,dolor ut sit elit magna
IUSCCC,PST001,CRF000100.bam,IUSCCC,PST001,382,BAM,408259,,labore consectetur adipiscing ipsum sit
IUSCCC,PST001,CRF000101.bam,IUSCCC,PST001,388,BAM,282948,,amet sit lorem ipsum eiusmod
IUSCCC,PST001,CRF000102.bam,IUSCCC,PST001,390,BAM,200898,,do do labore ipsum lorem
IUSCCC,PST001,CRF000103.bam,IUSCCC,PST001,397,BAM,369844,,consectetur lorem tempor sed adipiscing
IUSCCC,PST001,CRF000104.bam,IUSCCC,PST001,393,BAM,155896,,consectetur sit tempor sed ut
IUSCCC,PST001,CRF000105.bam,IUSCCC,PST001,402,BAM,426614,,sed consectetur ipsum et ut
IUSCCC,PST001,CRF000106.bam,IUSCCC,PST001,406,BAM,388969,,do consectetur incididunt tempor et
IUSCCC,PST001,CRF000107.bam,IUSCCC,PST001,410,BAM,321976,,ipsum et dolore aliqua dolore
IUSCCC,PST001,CRF000108.bam,IUSCCC,PST001,415,BAM,287428,,dolore amet incididunt tempor eiusmod
IUSCCC,PST001,CRF000109.bam,IUSCCC,PST001,417,BAM,247746,,dolor labore dolore eiusmod elit
IUSCCC,PST001,CRF000110.bam,IUSCCC,PST001,418,BAM,198906,,lorem aliqua do amet do
IUSCCC,PST001,CRF000111.bam,IUSCCC,PST001,421,BAM,200895,,sit et do elit aliqua
IUSCCC,PST001,CRF000112.bam,IUSCCC,PST001,426,BAM,214400,,eiusmod amet consectetur aliqua eiusmod
IUSCCC,PST001,CRF000113.bam,IUSCCC,PST001,424,BAM,245734,,labore tempor dolore labore ipsum
IUSCCC,PST001,CRF000114.bam,IUSCCC,PST001,428,BAM,65803,,sed adipiscing consectetur elit sed
IUSCCC,PST001,CRF000115.bam,IUSCCC,PST001,432,BAM,70861,,sed tempor ut tempor ipsum
IUSCCC,PST001,CRF000116.bam,IUSCCC,PST001,436,BAM,356303,,do adipiscing eiusmod tempor labore
IUSCCC,PST001,CRF000117.bam,IUSCCC,PST001,444,BAM,355009,,ipsum dolor elit ut labore
IUSCCC,PST001,CRF000118.bam,IUSCCC,PST001,439,BAM,357803,,ipsum tempor do ut eiusmod
IUSCCC,PST001,CRF000119.bam,IUSCCC,PST001,445,BAM,113160,,dolore dolore dolore adipiscing tempor
IUSCCC,PST001,CRF000120.bam,IUSCCC,PST001,447,BAM,432760,,labore elit dolore ut sit
IUSCCC,PST001,CRF000121.bam,IUSCCC,PST001,462,BAM,327516,,do eiusmod incididunt consectetur dolore
IUSCCC,PST001,CRF000122.bam,IUSCCC,PST001,470,BAM,272101,,lorem magna labore adipiscing sit
IUSCCC,PST001,CRF000123.bam,IUSCCC,PST001,475,BAM,425630,,dolor ipsum magna aliqua et
IUSCCC,PST001,CRF000124.bam,IUSCCC,PST001,471,BAM,231456,,elit lorem aliqua sit tempor
IUSCCC,PST001,CRF000125.bam,IUSCCC,PST001,477,BAM,215386,,eiusmod dolor tempor tempor incididunt
IUSCCC,PST001,CRF000126.bam,IUSCCC,PST001,473,BAM,465293,,magna tempor adipiscing tempor dolor
IUSCCC,PST001,CRF000127.bam,IUSCCC,PST001,474,BAM,398403,,aliqua aliqua sit consectetur dolore
IUSCCC,PST001,CRF000128.bam,IUSCCC,PST001,485,BAM,51994,,consectetur dolor lorem eiusmod elit
IUSCCC,PST001,CRF000129.bam,IUSCCC,PST001,468,BAM,236916,,sed adipiscing incididunt ipsum et
IUSCCC,PST001,CRF000130.bam,IUSCCC,PST001,469,BAM,32352,,amet ut lorem labore lorem
IUSCCC,PST001,CRF000131.bam,IUSCCC,PST001,508,BAM,491141,,sit consectetur labore tempor dolor
